# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
8.5176E-01    2.8841E-03    2.8839E-03    2.8984E-03    2.9059E-03    2.8792E-03
8.5516E-01    2.8864E-03    2.8866E-03    2.9040E-03    2.9124E-03    2.8827E-03
8.5858E-01    2.8964E-03    2.8968E-03    2.9169E-03    2.9254E-03    2.8894E-03
8.6202E-01    2.8991E-03    2.8994E-03    2.9201E-03    2.9287E-03    2.8911E-03
8.6546E-01    2.8983E-03    2.8987E-03    2.9192E-03    2.9277E-03    2.8905E-03
8.6892E-01    2.8960E-03    2.8965E-03    2.9177E-03    2.9265E-03    2.8900E-03
8.7240E-01    2.8949E-03    2.8952E-03    2.9149E-03    2.9233E-03    2.8883E-03
8.7589E-01    2.8988E-03    2.8990E-03    2.9188E-03    2.9271E-03    2.8903E-03
8.7939E-01    2.9117E-03    2.9115E-03    2.9317E-03    2.9397E-03    2.8966E-03
8.8291E-01    2.9201E-03    2.9196E-03    2.9404E-03    2.9484E-03    2.9010E-03
8.8644E-01    2.9231E-03    2.9224E-03    2.9435E-03    2.9515E-03    2.9027E-03
8.8998E-01    2.9238E-03    2.9231E-03    2.9443E-03    2.9523E-03    2.9030E-03
8.9354E-01    2.9192E-03    2.9187E-03    2.9398E-03    2.9479E-03    2.9008E-03
8.9711E-01    2.9212E-03    2.9204E-03    2.9409E-03    2.9488E-03    2.9013E-03
9.0070E-01    2.9220E-03    2.9211E-03    2.9413E-03    2.9493E-03    2.9015E-03
9.0430E-01    2.9103E-03    2.9097E-03    2.9288E-03    2.9368E-03    2.8951E-03
9.0792E-01    2.9090E-03    2.9081E-03    2.9247E-03    2.9321E-03    2.8926E-03
9.1155E-01    2.9031E-03    2.9020E-03    2.9156E-03    2.9222E-03    2.8875E-03
9.1519E-01    2.9018E-03    2.9004E-03    2.9114E-03    2.9171E-03    2.8847E-03
9.1885E-01    2.8950E-03    2.8938E-03    2.9031E-03    2.9081E-03    2.8800E-03
9.2253E-01    2.8965E-03    2.8952E-03    2.9048E-03    2.9101E-03    2.8809E-03
9.2622E-01    2.8959E-03    2.8943E-03    2.9002E-03    2.9029E-03    2.8765E-03
9.2992E-01    2.8997E-03    2.8979E-03    2.9020E-03    2.9030E-03    2.8762E-03
9.3364E-01    2.9075E-03    2.9054E-03    2.9099E-03    2.9104E-03    2.8797E-03
9.3737E-01    2.9036E-03    2.9015E-03    2.9051E-03    2.9052E-03    2.8771E-03
