# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
7.1745E-01    2.8944E-03    2.8926E-03    2.8956E-03    2.8956E-03    2.8714E-03
7.2032E-01    2.8971E-03    2.8952E-03    2.8984E-03    2.8984E-03    2.8728E-03
7.2320E-01    2.8932E-03    2.8915E-03    2.8944E-03    2.8944E-03    2.8707E-03
7.2609E-01    2.8962E-03    2.8944E-03    2.8974E-03    2.8974E-03    2.8723E-03
7.2899E-01    2.8981E-03    2.8962E-03    2.8994E-03    2.8994E-03    2.8734E-03
7.3191E-01    2.8904E-03    2.8888E-03    2.8915E-03    2.8915E-03    2.8691E-03
7.3484E-01    2.8860E-03    2.8845E-03    2.8870E-03    2.8871E-03    2.8664E-03
7.3777E-01    2.8863E-03    2.8848E-03    2.8874E-03    2.8874E-03    2.8666E-03
7.4072E-01    2.8808E-03    2.8795E-03    2.8818E-03    2.8820E-03    2.8632E-03
7.4369E-01    2.8747E-03    2.8736E-03    2.8756E-03    2.8759E-03    2.8596E-03
7.4666E-01    2.8735E-03    2.8725E-03    2.8756E-03    2.8770E-03    2.8609E-03
7.4965E-01    2.8698E-03    2.8690E-03    2.8727E-03    2.8750E-03    2.8601E-03
7.5264E-01    2.8683E-03    2.8677E-03    2.8720E-03    2.8749E-03    2.8604E-03
7.5565E-01    2.8662E-03    2.8657E-03    2.8706E-03    2.8743E-03    2.8603E-03
7.5867E-01    2.8677E-03    2.8672E-03    2.8729E-03    2.8770E-03    2.8621E-03
7.6171E-01    2.8662E-03    2.8659E-03    2.8732E-03    2.8784E-03    2.8634E-03
7.6475E-01    2.8672E-03    2.8671E-03    2.8765E-03    2.8829E-03    2.8663E-03
7.6781E-01    2.8678E-03    2.8678E-03    2.8782E-03    2.8850E-03    2.8677E-03
7.7088E-01    2.8692E-03    2.8693E-03    2.8821E-03    2.8899E-03    2.8707E-03
7.7396E-01    2.8720E-03    2.8723E-03    2.8865E-03    2.8946E-03    2.8733E-03
7.7706E-01    2.8749E-03    2.8753E-03    2.8912E-03    2.9000E-03    2.8763E-03
7.8017E-01    2.8787E-03    2.8792E-03    2.8967E-03    2.9057E-03    2.8793E-03
7.8329E-01    2.8821E-03    2.8823E-03    2.8985E-03    2.9069E-03    2.8799E-03
7.8642E-01    2.8843E-03    2.8843E-03    2.8995E-03    2.9076E-03    2.8802E-03
7.8956E-01    2.8863E-03    2.8860E-03    2.9002E-03    2.9081E-03    2.8805E-03
7.9272E-01    2.8873E-03    2.8870E-03    2.9015E-03    2.9092E-03    2.8809E-03
7.9589E-01    2.8876E-03    2.8871E-03    2.9011E-03    2.9089E-03    2.8809E-03
7.9907E-01    2.8887E-03    2.8881E-03    2.9013E-03    2.9087E-03    2.8806E-03
8.0227E-01    2.8879E-03    2.8870E-03    2.8977E-03    2.9040E-03    2.8781E-03
8.0548E-01    2.8832E-03    2.8825E-03    2.8924E-03    2.8984E-03    2.8750E-03
8.0870E-01    2.8887E-03    2.8875E-03    2.8949E-03    2.8991E-03    2.8748E-03
8.1193E-01    2.8894E-03    2.8881E-03    2.8946E-03    2.8981E-03    2.8740E-03
8.1518E-01    2.8934E-03    2.8918E-03    2.8959E-03    2.8972E-03    2.8730E-03
8.1844E-01    2.8927E-03    2.8911E-03    2.8947E-03    2.8957E-03    2.8720E-03
8.2171E-01    2.8924E-03    2.8907E-03    2.8943E-03    2.8951E-03    2.8715E-03
8.2500E-01    2.8893E-03    2.8877E-03    2.8908E-03    2.8913E-03    2.8692E-03
8.2829E-01    2.8898E-03    2.8883E-03    2.8913E-03    2.8917E-03    2.8695E-03
8.3161E-01    2.8888E-03    2.8873E-03    2.8908E-03    2.8917E-03    2.8697E-03
8.3493E-01    2.8865E-03    2.8853E-03    2.8926E-03    2.8966E-03    2.8734E-03
8.3827E-01    2.8884E-03    2.8876E-03    2.8990E-03    2.9049E-03    2.8783E-03
8.4162E-01    2.8863E-03    2.8857E-03    2.8973E-03    2.9038E-03    2.8778E-03
8.4499E-01    2.8817E-03    2.8814E-03    2.8948E-03    2.9024E-03    2.8774E-03
8.4837E-01    2.8785E-03    2.8783E-03    2.8908E-03    2.8979E-03    2.8749E-03
8.5176E-01    2.8841E-03    2.8839E-03    2.8984E-03    2.9059E-03    2.8792E-03
8.5516E-01    2.8864E-03    2.8866E-03    2.9040E-03    2.9124E-03    2.8827E-03
8.5858E-01    2.8964E-03    2.8968E-03    2.9169E-03    2.9254E-03    2.8894E-03
8.6202E-01    2.8991E-03    2.8994E-03    2.9201E-03    2.9287E-03    2.8911E-03
8.6546E-01    2.8983E-03    2.8987E-03    2.9192E-03    2.9277E-03    2.8905E-03
8.6892E-01    2.8960E-03    2.8965E-03    2.9177E-03    2.9265E-03    2.8900E-03
8.7240E-01    2.8949E-03    2.8952E-03    2.9149E-03    2.9233E-03    2.8883E-03
8.7589E-01    2.8988E-03    2.8990E-03    2.9188E-03    2.9271E-03    2.8903E-03
8.7939E-01    2.9117E-03    2.9115E-03    2.9317E-03    2.9397E-03    2.8966E-03
8.8291E-01    2.9201E-03    2.9196E-03    2.9404E-03    2.9484E-03    2.9010E-03
8.8644E-01    2.9231E-03    2.9224E-03    2.9435E-03    2.9515E-03    2.9027E-03
8.8998E-01    2.9238E-03    2.9231E-03    2.9443E-03    2.9523E-03    2.9030E-03
8.9354E-01    2.9192E-03    2.9187E-03    2.9398E-03    2.9479E-03    2.9008E-03
8.9711E-01    2.9212E-03    2.9204E-03    2.9409E-03    2.9488E-03    2.9013E-03
